2000,195526
2001,208750
2002,229267
2003,247401
2004,261465
2005,281313
2006,295707
2007,311980
2008,316950
2009,335525
2010,362624
2011,389895
2012,419051
2013,438737
2014,477037
2015,516526
2016,599340
2017,679077
2018,690430
2019,722193
2020,793935
2021,865621
