2000,263366
2001,283475
2002,312302
2003,339437
2004,371432
2005,397730
2006,436580
2007,468092
2008,468849
2009,484433
2010,535581
2011,598970
2012,653075
2013,690109
2014,741310
2015,846459
2016,984423
2017,1104188
2018,1095001
2019,1170666
2020,1286599
2021,1416511
