2000,246214
2001,257087
2002,283896
2003,307872
2004,328214
2005,346536
2006,370573
2007,393132
2008,405348
2009,431512
2010,463185
2011,495549
2012,518006
2013,575692
2014,634182
2015,704006
2016,797399
2017,907565
2018,926453
2019,974179
2020,1071082
2021,1180785
